REF_DATE,GEO,Province_encoding,DGUID,North American Industry Classification System (NAICS),Industry_encoding,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2001,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,1627.4,,,,1
2001,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,441.4,,,,1
2001,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,59.5,,,,1
2001,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,98.8,,,,1
2001,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,13.3,,,,1
2001,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,130.5,,,,1
2001,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,139.2,,,,1
2001,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1186,,,,1
2001,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,255.9,,,,1
2001,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,98.8,,,,1
2001,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,82.8,,,,1
2001,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,124.7,,,,1
2001,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,47.3,,,,1
2001,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,108.9,,,,1
2001,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,148.7,,,,1
2001,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,66.3,,,,1
2001,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,111.1,,,,1
2001,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,77.2,,,,1
2001,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,64.2,,,,1
2002,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,1673.8,,,,1
2002,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,460.7,,,,1
2002,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,60.4,,,,1
2002,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,95.9,,,,1
2002,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,17.1,,,,1
2002,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,139.8,,,,1
2002,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,147.6,,,,1
2002,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1213.1,,,,1
2002,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,251.1,,,,1
2002,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,99.5,,,,1
2002,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,83.4,,,,1
2002,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,124.3,,,,1
2002,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,54.7,,,,1
2002,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,109.4,,,,1
2002,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,155.5,,,,1
2002,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,69.6,,,,1
2002,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,119.4,,,,1
